ID,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,Location
33087,E85,City of Chicago FS#9,25 W 65th St,65th and State,Chicago,IL,60621,,,E,,Private - Government only,,,,,,,,,,,,200-8,41.776439,-87.625954,11/06/2024,02/11/2025 06:16:32 PM +0000,LG,,,03/15/2010,,,,false,"(41.776439, -87.625954)"
117866,ELEC,B&B Auto Inc,913 Front St,,McHenry,IL,60050,,815-363-7560,E,,Public,"8am-6pm M-F, 8am-3pm Sat",,,,,,1,,,Non-Networked,,200-9,42.341617,-88.274825,01/13/2025,02/11/2025 06:16:32 PM +0000,P,,,02/01/2019,,,,,"(42.341617, -88.274825)"
144875,E85,Casey's General Store,2131 E Lincoln Hwy,,DeKalb,IL,60115,,815-754-4931,E,,Public,24 hours daily,A Cash Comdata D Debit FleetOne M TCH Tchek V,,,,,,,,,,200-9,41.923353,-88.723836,04/14/2024,02/11/2025 06:16:32 PM +0000,P,,,08/28/2019,,,,true,"(41.923353, -88.723836)"
150298,ELEC,WINNETKA 820 ELM STREET,820 Elm St,,Winnetka,IL,60093,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.10574,-87.73594,04/22/2025,04/21/2025 08:25:43 PM +0000,,,,12/18/2019,,,,,"(42.10574, -87.73594)"
168026,ELEC,CITY HALL STATION #1,222 E 9th St,,Lockport,IL,60441,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.589768,-88.055188,04/22/2025,04/21/2025 08:36:58 PM +0000,,,,10/30/2020,,,,,"(41.589768, -88.055188)"
181174,ELEC,ADVOCATE ASSH CAC WEST,17800 Kedzie Ave,SW side of campus.,Hazel Crest,IL,60429,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.56561,-87.698306,04/22/2025,04/21/2025 08:32:07 PM +0000,,,,01/27/2021,,,,,"(41.56561, -87.698306)"
219639,E85,Thorntons #337,8012 W 111th St,,Palos Hills,IL,60465,,708-522-4278,E,,Public,24 hours daily,A Cash CREDIT D Debit M V,,,,,,,,,,GPS,41.6901410561501,-87.8169217988218,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,04/13/2022,,,,true,"(41.6901410561501, -87.8169217988218)"
231010,ELEC,Calumet,328 E 43rd st,,Chicago,IL,60653,,866-816-7584,E,,Public,24 hours daily,,,,,,2,,,EV Connect,https://www.evconnect.com,GPS,41.816823,-87.618607,04/22/2025,04/21/2025 10:27:45 PM +0000,,,,09/30/2022,,,,,"(41.816823, -87.618607)"
255085,ELEC,Vail Avenue Garage,22 S. Vail Avenue,,Arlington  Heights,IL,60005,,888-998-2546,E,,Public,24 hours daily,,,,,,4,,,Blink Network,https://blinkcharging.com,GPS,42.082129745425,-87.984428753967,04/22/2025,04/21/2025 07:32:32 PM +0000,,,,11/11/2022,,,,,"(42.082129745425, -87.984428753967)"
259592,ELEC,Navy Pier,600 E Grand Ave,,Chicago,IL,60611,,866-816-7584,E,,Public,24 hours daily,,,,,,7,,,EV Connect,https://www.evconnect.com,GPS,41.891527,-87.608748,04/22/2025,04/21/2025 10:28:28 PM +0000,,,,04/19/2023,,,,,"(41.891527, -87.608748)"
307007,ELEC,WATER ST LOT WATER STREET,208 N Water St,Next to Antique store,Wilmington,IL,60481,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.308995,-88.147631,04/22/2025,04/21/2025 09:19:04 PM +0000,,,,08/15/2023,,,,,"(41.308995, -88.147631)"
332533,E85,Casey's,200 E Grant Hwy,,Marengo,IL,60152,,815-655-8386,E,,Public,5am-11pm daily,A Cash CREDIT D Debit M V,,,,,,,,,,200-8,42.24833,-88.6066,05/09/2024,02/11/2025 06:16:32 PM +0000,P,,,01/01/2024,,,,false,"(42.24833, -88.6066)"
352184,E85,Marathon Gas,833 E St Charles Rd,,Lombard,IL,60148,,708-372-7632,E,,Public,24 hours daily,,,,,,,,,,,200-8,41.88969,-87.99584,09/12/2024,02/11/2025 06:16:32 PM +0000,P,,,04/27/2024,,,,true,"(41.88969, -87.99584)"
158448,E85,Casey's General Store,1306 4 Mile Rd,,Racine,WI,53402,,262-639-2225,E,,Public - Credit card after hours,6am-9pm M-Sun,A Cash D Debit M V,,,,,,,,,,GPS,42.78467950394267,-87.79578426983643,04/14/2024,02/11/2025 06:16:32 PM +0000,P,,,05/14/2020,,,,false,"(42.78467950394267, -87.79578426983643)"
193520,ELEC,PRUDENTIALPLAZA STATION 02,310 N Stetson Ave,P2 Farage,Chicago,IL,60601,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.887424,-87.622235,04/22/2025,04/21/2025 08:29:53 PM +0000,,,,08/06/2021,,,,,"(41.887424, -87.622235)"
40343,E85,Thorntons #309,28937 W Illinois Route 120,,Lakemoor,IL,60051,,815-344-1502,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-8,42.32785,-88.1976,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,09/15/2010,,,,true,"(42.32785, -88.1976)"
289249,ELEC,EV PILOT FLPL 04 SR,18 N County St,Main Entrance,Waukegan,IL,60085,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.361183,-87.833068,04/22/2025,04/21/2025 08:38:53 PM +0000,,,,06/23/2023,,,,,"(42.361183, -87.833068)"
357017,ELEC,Park Blvd - Parking Lot,3720 S Dearborn St,,Chicago,IL,60609,,813-492-5220,E,,Public,24 hours daily,A ANDROID_PAY APPLE_PAY D M V,,,,,2,,,EVOKE,https://evokesystems.com,GPS,41.82674,-87.62796,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,08/30/2023,,,,,"(41.82674, -87.62796)"
212449,ELEC,Westmont Village Shopping Center,30 W 63rd Street,,Westmont,IL,60559,,855-900-7584,T,09/18/2024,TEMPORARILY UNAVAILABLE (Public),Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,41.774431,-87.977881,04/22/2025,04/21/2025 10:07:56 PM +0000,,,,12/14/2021,,,,,"(41.774431, -87.977881)"
346915,ELEC,Old Joliet Prison,1125 Collins Street,,Joliet,IL,60432,,888-998-2546,E,,Public,24 hours daily,,,,,,4,,,Blink Network,https://blinkcharging.com,GPS,41.54508576790146,-88.0732955057953,04/22/2025,04/21/2025 07:29:26 PM +0000,,,,05/29/2024,,,,,"(41.54508576790146, -88.0732955057953)"
327024,ELEC,DeKalb Sycamore Cadillac,1925 MERCANTILE DR,,SYCAMORE,IL,60178,,866-816-7584,E,,Public,24 hours daily,,,,,,,2,,EV Connect,https://www.evconnect.com,GPS,41.971584,-88.715739,04/22/2025,04/21/2025 10:27:12 PM +0000,,,,01/30/2024,,,,,"(41.971584, -88.715739)"
182476,ELEC,COOK EV PROGRAM CC BRIDGEVIEW,10116-10200 S 76th Ave,Parking Lot 1 st solar tree,Bridgeview,IL,60455,,888-758-4389,E,,Public,Mon 8:00am - 8:00pm; Tue 8:00am - 8:00pm; Wed 8:00am - 8:00pm; Thu 8:00am - 8:00pm; Fri 8:00am - 8:00pm; Sat 8:00am - 8:00pm; Sun 8:00am - 8:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.706514,-87.809793,04/22/2025,04/21/2025 08:02:10 PM +0000,,,,01/27/2021,,,,,"(41.706514, -87.809793)"
297460,BD,Casey's,110 S Dixie Hwy,,St Anne,IL,60964,,815-422-0035,E,,Public,5am-12am daily,A Cash D Debit M V,B20,,,,,,,,,200-8,41.02465,-87.7228,04/14/2024,02/11/2025 06:16:32 PM +0000,P,,,06/27/2023,,,,,"(41.02465, -87.7228)"
367854,ELEC,Pilot Travel Center 34,4154 West US Highway 24,,Remington,IN,47977,,877-455-3833,E,,Public,24 hours daily,,,,,,,4,,eVgo Network,https://www.evgo.com,GPS,40.76626,-87.12463,04/21/2025,04/21/2025 06:59:42 PM +0000,,,,11/13/2024,,,,,"(40.76626, -87.12463)"
309007,ELEC,50 NWP,50 Northwest Point Boulevard,,Elk Grove Village,IL,60007,,888-998-2546,T,04/04/2024,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,Blink Network,https://blinkcharging.com,GPS,42.0338489,-87.9831644,04/22/2025,04/21/2025 07:06:29 PM +0000,,,,05/02/2018,,,,,"(42.0338489, -87.9831644)"
153799,ELEC,Walgreens at 3351 W Main St St Charles,3351 W Main St,,St. Charles,IL,60175,,855-900-7584,E,,Public,Mon 7:00am - 10:00pm; Tue 7:00am - 10:00pm; Wed 7:00am - 10:00pm; Thu 7:00am - 10:00pm; Fri 7:00am - 10:00pm; Sat 7:00am - 10:00pm; Sun 7:00am - 10:00pm,,,,,,2,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,41.918021,-88.359036,04/22/2025,04/21/2025 10:11:08 PM +0000,,,,02/14/2020,,,,,"(41.918021, -88.359036)"
212182,BD,Casey's General Store,1400 N Arlington Heights Rd,,Itasca,IL,60143,,630-438-5002,E,,Public,24 hours daily,A Cash D Debit M V,B20,,,,,,,,,200-9,41.99224,-88.003645,04/14/2024,02/11/2025 06:16:32 PM +0000,P,,,08/20/2021,,,,,"(41.99224, -88.003645)"
316716,ELEC,218 MADISON PDOP SOUTH,218 Madison Street,The station is on the west side of the building and the parking lot entrance is accessible from Harvey Ave.,Oak Park,IL,60302,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.880219,-87.780862,04/22/2025,04/21/2025 09:23:30 PM +0000,,,,11/04/2023,,,,,"(41.880219, -87.780862)"
88768,E85,Thorntons #18,601 S Harlem Ave,,Forest Park,IL,60130,,708-366-1213,E,,Public,24 hours daily,A Cash D Debit M V,,,,,,,,,,200-9,41.875666,-87.804942,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,12/15/2017,,,,false,"(41.875666, -87.804942)"
298495,BD,Casey's,1530 W Schaumburg Rd,,Schaumburg,IL,60194,,847-999-6489,E,,Public,24 hours daily,A Cash D Debit M V,B20,,,,,,,,,200-8,42.02626,-88.11867,04/14/2024,02/11/2025 06:16:32 PM +0000,P,,,06/27/2023,,,,,"(42.02626, -88.11867)"
49307,E85,Thorntons #19,1118 W Touhy Ave,,Park Ridge,IL,60068,,847-692-5559,E,,Public,24 hours daily,A Cash Checks D M V Voyager Wright_Exp,,,,,,,,,,200-9,42.01102,-87.839857,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,12/15/2016,,,,true,"(42.01102, -87.839857)"
388908,ELEC,LOT E LOT D 3,1 Stevenson Drive,NorthWest,Lincolnshire,IL,60069,,888-758-4389,E,,Public,Mon 4:30am - 8:00pm; Tue 4:30am - 8:00pm; Wed 4:30am - 8:00pm; Thu 4:30am - 8:00pm; Fri 4:30am - 8:00pm,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.200924,-87.943783,04/22/2025,04/21/2025 09:47:18 PM +0000,,,,03/29/2025,,,,,"(42.200924, -87.943783)"
235041,ELEC,DOCTOR'S GARAGE PALOS 1,12255 S 80th Ave,Doctor's Lot - Garare #1,Palos Heights,IL,60463,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.670058,-87.813948,04/22/2025,04/21/2025 07:58:18 PM +0000,,,,10/25/2022,,,,,"(41.670058, -87.813948)"
229595,ELEC,119th St Parking Lot,1515 119th St,,Whiting,IN,46394,,833-692-6787,E,,Public - Credit card at all times,Contact station for hours of availability.,A ANDROID_PAY APPLE_PAY CREDIT D M,,,,,1,,,AMPUP,https://ampup.io,200-9,41.679656,-87.492228,10/11/2022,02/14/2023 09:54:11 AM +0000,P,,,09/15/2022,,,,,"(41.679656, -87.492228)"
173545,ELEC,UNITED ORD LOT UNITED 6,5600 Bessie Coleman Dr,,Chicago,IL,60666,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.981234,-87.888678,04/22/2025,04/21/2025 08:14:20 PM +0000,,,,01/27/2021,,,,,"(41.981234, -87.888678)"
46837,ELEC,Nissan of St Charles,2535 E Main St,,St. Charles,IL,60174,,630-584-3900,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,41.920486,-88.284011,02/12/2024,02/11/2025 06:16:32 PM +0000,P,,,01/31/2012,,,,,"(41.920486, -88.284011)"
312597,ELEC,Zeigler Cadillac of Lincolnwood Dealership,7373 N Cicero Ave,,Lincolnwood,IL,60712,,866-816-7584,E,,Public,24 hours daily,,,,,,,1,,EV Connect,https://www.evconnect.com,GPS,42.014911,-87.746924,04/22/2025,04/21/2025 10:27:46 PM +0000,,,,10/07/2023,,,,,"(42.014911, -87.746924)"
376006,ELEC,WC CHICAGO WCI-PG-L2-ST-5,820 175th St,"Parking Garage, Level 2, General",Homewood,IL,60430,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.572181,-87.637615,04/22/2025,04/21/2025 09:38:51 PM +0000,,,,01/22/2025,,,,,"(41.572181, -87.637615)"
117006,ELEC,CRESCENT LOT GLEN ELLYN,505 Crescent Blvd,,Glen Ellyn,IL,60137,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.876135,-88.067779,04/22/2025,04/21/2025 08:16:05 PM +0000,,,,01/15/2019,,,,,"(41.876135, -88.067779)"
333546,ELEC,Oak Park Library,834 Lake St,,Oak Park,IL,60301,,,E,,Public,9am-9pm M-F; 9am-5pm Sat; 12pm-5pm Sun,A ACCOUNT_BALANCE CREDIT D Debit M V,,,,,2,,,EVMATCH,https://evmatch.com,200-8,41.8892,-87.79651,05/09/2024,02/11/2025 06:16:32 PM +0000,P,,,01/05/2024,,,,,"(41.8892, -87.79651)"
219822,E85,Power Energy - Argo ( BP) Cobranded E85,7200 W 63rd St,,Summit,IL,60501,,708-458-1212,E,,Public,24 hours daily,A Cash CREDIT D Debit M V,,,,,,,,,,GPS,41.7776733757389,-87.8010830559199,01/13/2025,02/11/2025 06:16:32 PM +0000,P,,,04/14/2022,,,,true,"(41.7776733757389, -87.8010830559199)"
85691,ELEC,OAKTON COLLEGE1 LEE CENTER,Oakton Community College 1600 E. Golf Road,SCIENCE BUILDING LOT D,Des Plaines,IL,60016,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.063975,-87.878192,04/22/2025,04/21/2025 08:05:40 PM +0000,,,,06/27/2017,,,,,"(42.063975, -87.878192)"
372289,E85,Gas N Wash,4361 W 127th St,,Alsip,IL,60803,,708-926-0622,E,,Public,24 hours daily,A Cash CREDIT D Debit M V,,,,,,,,,,200-8,41.66175,-87.72846,01/13/2025,02/11/2025 06:16:32 PM +0000,P,,,12/03/2024,,,,false,"(41.66175, -87.72846)"
250947,ELEC,Taco Burrito King - Tesla Destination,23836 W Eames Street,,Channahon,IL,60410,,877-798-3752,E,,Public,,,,,,,1,,,Tesla Destination,https://www.tesla.com/destination-charging,GPS,41.458025,-88.192576,07/01/2024,02/11/2025 06:16:32 PM +0000,P,,,03/23/2022,,,,,"(41.458025, -88.192576)"
186340,ELEC,Jewel Osco 2940 North Ashland Chicago,2940 North Ashland,,Chicago,IL,60657,,855-900-7584,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,41.935462,-87.669719,04/22/2025,04/21/2025 10:08:53 PM +0000,,,,03/15/2021,,,,,"(41.935462, -87.669719)"
195697,ELEC,Fair Oaks Farms - Tesla Supercharger,856 N. 600 E.,,Fair Oaks,IN,47943,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,A D Debit M V,,,,,,12,,Tesla,https://www.tesla.com/supercharger,GPS,41.01038506,-87.27656344,07/01/2024,02/11/2025 06:16:32 PM +0000,P,,,09/03/2021,,,,,"(41.01038506, -87.27656344)"
81658,E85,Thorntons #3,7600 W 159th St,,Orland Park,IL,60462,,708-614-0377,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,41.602566,-87.804313,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,02/15/2017,,,,true,"(41.602566, -87.804313)"
153795,ELEC,Tinseltown USA North Aurora,320 S Lincolnway St,,North Aurora,IL,60542,,855-900-7584,E,,Public,Mon 6:00am - 11:59pm; Tue 6:00am - 11:59pm; Wed 6:00am - 11:59pm; Thu 6:00am - 11:59pm; Fri 6:00am - 11:59pm; Sat 6:00am - 11:59pm; Sun 6:00am - 11:59pm,,,,,,2,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,41.791653,-88.324257,04/22/2025,04/21/2025 10:09:23 PM +0000,,,,02/14/2020,,,,,"(41.791653, -88.324257)"
212189,BD,Casey's General Store,1095 Pyott Rd,,Crystal Lake,IL,60014,,815-459-1560,E,,Public,24 hours daily,A Cash D Debit M V,B20,,,,,,,,,200-9,42.216052,-88.316345,04/14/2024,02/11/2025 06:16:32 PM +0000,P,,,09/24/2021,,,,,"(42.216052, -88.316345)"
66736,ELEC,"EVANSTON, IL SHERMAN PLAZA 2",821 Davis St,"The ChargePoint station is located in the Sherman Plaza Parking Garage, Second Floor along the south wall.",Evanston,IL,60201,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.047287,-87.683069,04/22/2025,04/21/2025 07:55:55 PM +0000,,,,04/15/2015,,,,,"(42.047287, -87.683069)"
193544,ELEC,DOMINOS ECAR DOMINOS ST 2602,1532 N Arbogast St,Dominos NOT FOR PUBLIC USE,Griffith,IN,46319,,888-758-4389,T,02/11/2025,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.54927,-87.41848,04/22/2025,04/21/2025 08:46:13 PM +0000,,,,08/06/2021,,,,,"(41.54927, -87.41848)"
262895,ELEC,Lake Michigan Fishing Charter,55 South Harbor Place,,Waukegan,IL,60085,,888-998-2546,T,04/04/2024,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,4,,,Blink Network,https://blinkcharging.com,GPS,42.358494,-87.824335,04/22/2025,04/21/2025 07:16:29 PM +0000,,,,05/23/2023,,,,,"(42.358494, -87.824335)"
143269,ELEC,ADVOCATE GOOD SHEPHERD 2,450 W State Rte 22,,Tower Lakes,IL,60010,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.196775,-88.173699,04/22/2025,04/21/2025 08:20:35 PM +0000,,,,08/15/2019,,,,,"(42.196775, -88.173699)"
216541,ELEC,KISHHEALTH DOCTORS LOT 2,1 Kish Hospital Dr,Doctors Parking Lot South Unit,DeKalb,IL,60115,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.960516,-88.722908,04/22/2025,04/21/2025 08:59:21 PM +0000,,,,05/04/2022,,,,,"(41.960516, -88.722908)"
202908,ELEC,INTERPARK ONTARIO-CLAIR2,177 N Wells St,,Chicago,IL,60606,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.885402,-87.633583,04/22/2025,04/21/2025 08:52:23 PM +0000,,,,12/22/2021,,,,,"(41.885402, -87.633583)"
114221,ELEC,Fair Oaks Farms - Tesla Destination,856 N 600 E,,Fair Oaks,IN,47943,,877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,41.009555,-87.27729,07/01/2024,02/11/2025 06:16:32 PM +0000,P,,,09/12/2017,,,,,"(41.009555, -87.27729)"
63866,E85,BP - The Pride,3100 S Cicero Ave,,Cicero,IL,60804,,708-652-9025,E,,Public,24 hours daily,A Cash D Debit M V Voyager Wright_Exp,,,,,,,,,,200-9,41.836338,-87.744227,10/11/2024,02/11/2025 06:16:32 PM +0000,P,,,10/01/2014,,,,false,"(41.836338, -87.744227)"
